Getting page data for thenewyorkdailynews
268914272540_10150791607337541 has 4 number of comments
number of queries is 611
268914272540_10150791471577541 has 21 number of comments
268914272540_10150791402287541 has 12 number of comments
268914272540_10150791332512541 has 20 number of comments
268914272540_145491008908768 has 4 number of comments
268914272540_10150791268227541 has 19 number of comments
268914272540_10150791203337541 has 28 number of comments
268914272540_277108482385012 has 35 number of comments
268914272540_225978540847539 has 39 number of comments
268914272540_10150790918267541 has 11 number of comments
268914272540_359537077438988 has 14 number of comments
268914272540_10150790746112541 has 52 number of comments
268914272540_10150790375802541 has 15 number of comments
268914272540_464533870227340 has 4 number of comments
268914272540_293085240781874 has 16 number of comments
268914272540_10150789456817541 has 17 number of comments
268914272540_266272956803532 has 17 number of comments
268914272540_10150789242122541 has 1 number of comments
268914272540_10150789127147541 has 1 number of comments
268914272540_10150789027577541 has 17 number of comments
268914272540_10150788946247541 has 28 number of comments
268914272540_10150788880212541 has 7 number of comments
268914272540_238019512971373 has 4 number of comments
268914272540_10150788763467541 has 4 number of comments
268914272540_10150788718767541 has 3 number of comments
number of queries is 35
268914272540_10150788603112541 has 5 number of comments
268914272540_10150788532307541 has 13 number of comments
268914272540_10150788519237541 has 55 number of comments
268914272540_10150788431897541 has 12 number of comments
268914272540_10150788353707541 has 30 number of comments
268914272540_174138842713750 has 6 number of comments
268914272540_10150788232487541 has 39 number of comments
268914272540_389319247785515 has 15 number of comments
268914272540_249130191860991 has 7 number of comments
268914272540_441590405852768 has 39 number of comments
268914272540_353330501398831 has 18 number of comments
268914272540_10150787776927541 has 11 number of comments
268914272540_300495126703264 has 7 number of comments
268914272540_10150787723677541 has 3 number of comments
268914272540_10150787671487541 has 1 number of comments
268914272540_10150787623067541 has 10 number of comments
268914272540_204881086300112 has 10 number of comments
268914272540_382897668427534 has 7 number of comments
268914272540_10150786810587541 has 39 number of comments
268914272540_10150786620932541 has 23 number of comments
268914272540_10150786468152541 has 7 number of comments
268914272540_215014491949332 has 8 number of comments
268914272540_409524095736759 has 3 number of comments
number of queries is 70
268914272540_10150786388212541 has 1 number of comments
268914272540_10150786281847541 has 11 number of comments
268914272540_229513560496077 has 8 number of comments
268914272540_10150785918472541 has 7 number of comments
268914272540_230340910413345 has 50 number of comments
268914272540_10150785825537541 has 6 number of comments
268914272540_214427892009378 has 15 number of comments
268914272540_10150785651172541 has 10 number of comments
268914272540_10150785580697541 has 20 number of comments
268914272540_10150785568257541 has 6 number of comments
268914272540_10150785532312541 has 8 number of comments
268914272540_336032883135156 has 41 number of comments
268914272540_188447977944356 has 43 number of comments
268914272540_10150784923872541 has 27 number of comments
268914272540_10150784383272541 has 5 number of comments
268914272540_217690948347423 has 5 number of comments
268914272540_384830594902377 has 1 number of comments
268914272540_425584434127461 has 3 number of comments
268914272540_442079355820747 has 1 number of comments
268914272540_10150783947127541 has 29 number of comments
268914272540_10150783900972541 has 9 number of comments
268914272540_10150783737572541 has 13 number of comments
268914272540_377919505578674 has 12 number of comments
268914272540_10150783641192541 has 4 number of comments
number of queries is 105
268914272540_10150783578302541 has 9 number of comments
268914272540_290232097738169 has 6 number of comments
268914272540_149440238514267 has 1 number of comments
268914272540_267473090016847 has 14 number of comments
268914272540_200079943446450 has 14 number of comments
268914272540_355731094480987 has 3 number of comments
268914272540_10150782942647541 has 5 number of comments
268914272540_125497960919599 has 47 number of comments
268914272540_10150782782937541 has 35 number of comments
268914272540_237828782990382 has 5 number of comments
268914272540_363491940366227 has 8 number of comments
268914272540_306154339466085 has 4 number of comments
268914272540_387811467924416 has 5 number of comments
268914272540_225792144202716 has 3 number of comments
268914272540_235698416534431 has 46 number of comments
268914272540_290515771038812 has 7 number of comments
268914272540_10150776319082541 has 1 number of comments
268914272540_347788845286921 has 27 number of comments
268914272540_10150776130182541 has 11 number of comments
268914272540_10150776053297541 has 11 number of comments
268914272540_10150775893332541 has 16 number of comments
268914272540_146798152111710 has 1 number of comments
268914272540_10150775806292541 has 11 number of comments
number of queries is 136
268914272540_10150775527152541 has 22 number of comments
268914272540_357086631016860 has 1 number of comments
268914272540_10150775432897541 has 9 number of comments
268914272540_224395037675281 has 23 number of comments
268914272540_123698837765605 has 17 number of comments
268914272540_464168930265451 has 24 number of comments
268914272540_10150773395277541 has 8 number of comments
268914272540_10150763336922541 has 15 number of comments
268914272540_405257212848302 has 8 number of comments
268914272540_10150761520312541 has 37 number of comments
268914272540_407232572641372 has 25 number of comments
268914272540_10150759081352541 has 182 number of comments
268914272540_399351170087679 has 4 number of comments
268914272540_221371657966030 has 1 number of comments
268914272540_10150757662162541 has 54 number of comments
268914272540_10150757587257541 has 56 number of comments
268914272540_221694564612903 has 5 number of comments
268914272540_283726405053334 has 19 number of comments
268914272540_284507504973676 has 44 number of comments
268914272540_322955651110585 has 18 number of comments
268914272540_374461859256391 has 15 number of comments
268914272540_225918174187843 has 5 number of comments
268914272540_10150752003577541 has 25 number of comments
number of queries is 174
268914272540_390919487619594 has 5 number of comments
268914272540_353455721384605 has 24 number of comments
268914272540_10150745390672541 has 132 number of comments
268914272540_10150744301547541 has 3 number of comments
268914272540_10150744240467541 has 12 number of comments
268914272540_10150744084252541 has 4 number of comments
268914272540_150964748367458 has 9 number of comments
268914272540_10150743846412541 has 14 number of comments
268914272540_236072436494568 has 13 number of comments
268914272540_249188088522361 has 30 number of comments
268914272540_385667131485101 has 39 number of comments
268914272540_10150743659922541 has 15 number of comments
268914272540_408631172491001 has 3 number of comments
268914272540_122283401241052 has 4 number of comments
268914272540_303006213115454 has 45 number of comments
268914272540_324072027662135 has 8 number of comments
268914272540_396138587076183 has 25 number of comments
268914272540_10150742293957541 has 52 number of comments
268914272540_358428937547292 has 1 number of comments
268914272540_327098544026634 has 11 number of comments
268914272540_308134942597829 has 10 number of comments
268914272540_10150739516747541 has 5 number of comments
268914272540_368249666564449 has 24 number of comments
268914272540_381283511924528 has 12 number of comments
number of queries is 211
268914272540_350634401658093 has 5 number of comments
268914272540_186118811510038 has 35 number of comments
268914272540_380476175328574 has 3 number of comments
268914272540_228491963931665 has 6 number of comments
268914272540_10150737565002541 has 23 number of comments
268914272540_376945245691692 has 3 number of comments
268914272540_10150737448882541 has 6 number of comments
268914272540_299146320171481 has 53 number of comments
268914272540_420851594600901 has 1 number of comments
268914272540_197886513665856 has 16 number of comments
268914272540_10150736569572541 has 107 number of comments
268914272540_234887803279324 has 6 number of comments
268914272540_10150736457927541 has 7 number of comments
268914272540_134453503344954 has 26 number of comments
268914272540_288749094548431 has 4 number of comments
268914272540_431706593521340 has 7 number of comments
268914272540_323689791035273 has 15 number of comments
268914272540_211677832282845 has 28 number of comments
268914272540_10150734257052541 has 14 number of comments
268914272540_381766665208756 has 22 number of comments
268914272540_450915018257725 has 35 number of comments
268914272540_293794160708106 has 32 number of comments
268914272540_295495617205304 has 3 number of comments
number of queries is 249
268914272540_436301209713286 has 1 number of comments
268914272540_451356261557461 has 9 number of comments
268914272540_235458863221447 has 4 number of comments
268914272540_206636332788782 has 37 number of comments
268914272540_168698809923646 has 13 number of comments
268914272540_428643937163703 has 8 number of comments
268914272540_10150726605747541 has 12 number of comments
268914272540_10150726539177541 has 60 number of comments
268914272540_167894286673543 has 14 number of comments
268914272540_229370950505926 has 5 number of comments
268914272540_320869071318301 has 42 number of comments
268914272540_285613001528268 has 35 number of comments
268914272540_10150726228442541 has 18 number of comments
268914272540_10150725953352541 has 6 number of comments
268914272540_305257326216270 has 1 number of comments
268914272540_220311224751051 has 12 number of comments
268914272540_433231653373360 has 2 number of comments
268914272540_380799718638683 has 6 number of comments
268914272540_233550946745996 has 6 number of comments
268914272540_235679616532700 has 9 number of comments
268914272540_323843814350699 has 6 number of comments
268914272540_296484203769836 has 17 number of comments
number of queries is 281
268914272540_347811001948563 has 1 number of comments
268914272540_348156535238944 has 15 number of comments
268914272540_303661103042210 has 23 number of comments
268914272540_258835990881943 has 24 number of comments
268914272540_224158157698578 has 5 number of comments
268914272540_433850969958960 has 3 number of comments
268914272540_439795199382005 has 4 number of comments
268914272540_228448593934917 has 1 number of comments
268914272540_426863593991015 has 17 number of comments
268914272540_105184112951923 has 2 number of comments
268914272540_10150708378217541 has 10 number of comments
268914272540_329115310487213 has 9 number of comments
268914272540_223978014379831 has 20 number of comments
268914272540_207467686039192 has 2 number of comments
268914272540_346242535430551 has 1 number of comments
268914272540_219960794773296 has 1 number of comments
268914272540_425297804164588 has 41 number of comments
268914272540_430685916960021 has 7 number of comments
268914272540_381824548523670 has 3 number of comments
268914272540_303912043017180 has 9 number of comments
268914272540_207826856003044 has 65 number of comments
268914272540_406592272705554 has 4 number of comments
number of queries is 309
268914272540_219467054836167 has 17 number of comments
268914272540_245603725546695 has 47 number of comments
268914272540_242968979143950 has 19 number of comments
268914272540_406109189422479 has 18 number of comments
268914272540_292991630786091 has 1 number of comments
268914272540_301915983219548 has 9 number of comments
268914272540_322951617776368 has 17 number of comments
268914272540_449288281752387 has 7 number of comments
268914272540_324050347668725 has 4 number of comments
268914272540_258065127624452 has 12 number of comments
268914272540_269626426466844 has 9 number of comments
268914272540_133205836803705 has 90 number of comments
268914272540_132790240178001 has 31 number of comments
268914272540_216546171795028 has 12 number of comments
268914272540_215199045249649 has 4 number of comments
268914272540_308992602509860 has 5 number of comments
268914272540_268819166548463 has 13 number of comments
268914272540_178495408939904 has 33 number of comments
268914272540_348075338580747 has 28 number of comments
268914272540_324249354309783 has 28 number of comments
268914272540_318398398228685 has 40 number of comments
268914272540_412265485458109 has 1 number of comments
number of queries is 347
268914272540_164215147040052 has 2 number of comments
268914272540_134954406638413 has 12 number of comments
268914272540_283201648441377 has 2 number of comments
268914272540_102832789853365 has 5 number of comments
268914272540_297549500328448 has 9 number of comments
268914272540_222473524529036 has 6 number of comments
268914272540_10150687945167541 has 5 number of comments
268914272540_431198180225784 has 7 number of comments
268914272540_372490059468960 has 16 number of comments
268914272540_432175543478386 has 20 number of comments
268914272540_400258443329793 has 1 number of comments
268914272540_407712829249136 has 4 number of comments
268914272540_265953773501141 has 14 number of comments
268914272540_298637346885729 has 8 number of comments
268914272540_205153782935930 has 34 number of comments
268914272540_291303390953426 has 14 number of comments
268914272540_446033392090345 has 8 number of comments
268914272540_319859461420534 has 25 number of comments
268914272540_232128863555244 has 17 number of comments
268914272540_205076652943939 has 6 number of comments
268914272540_228808793892532 has 37 number of comments
268914272540_224855347622900 has 33 number of comments
268914272540_282525275170881 has 18 number of comments
268914272540_217873161657221 has 5 number of comments
number of queries is 378
268914272540_369038866465205 has 12 number of comments
268914272540_316004091801757 has 14 number of comments
268914272540_204806969638693 has 8 number of comments
268914272540_428701433824506 has 12 number of comments
268914272540_330964273636251 has 38 number of comments
268914272540_280151722078834 has 5 number of comments
268914272540_440078976006507 has 5 number of comments
268914272540_407491622608314 has 13 number of comments
268914272540_344859318907635 has 3 number of comments
268914272540_442288449121362 has 5 number of comments
268914272540_416289001728183 has 41 number of comments
268914272540_320291131376329 has 25 number of comments
268914272540_224453657663303 has 5 number of comments
268914272540_325845980818194 has 1 number of comments
268914272540_374993965884798 has 31 number of comments
268914272540_299267403485988 has 44 number of comments
268914272540_219753264805119 has 13 number of comments
268914272540_342857322435472 has 15 number of comments
268914272540_350800294978354 has 28 number of comments
268914272540_276628809096316 has 52 number of comments
268914272540_289099297842601 has 13 number of comments
268914272540_354068881322335 has 3 number of comments
268914272540_322198477853789 has 5 number of comments
number of queries is 414
268914272540_348351078562887 has 13 number of comments
268914272540_353461408047041 has 7 number of comments
268914272540_192935804160751 has 13 number of comments
268914272540_428558167155243 has 8 number of comments
268914272540_424141277613570 has 9 number of comments
268914272540_372830209434167 has 3 number of comments
268914272540_264788826950594 has 29 number of comments
268914272540_296081430476723 has 2 number of comments
268914272540_366145296755191 has 8 number of comments
268914272540_277651278992613 has 4 number of comments
268914272540_284155138337722 has 4 number of comments
268914272540_143306272461148 has 6 number of comments
268914272540_10150675584377541 has 1 number of comments
268914272540_331537453578419 has 27 number of comments
268914272540_202410663210509 has 19 number of comments
268914272540_270552483040475 has 44 number of comments
268914272540_303070629770342 has 2 number of comments
268914272540_285990548156335 has 8 number of comments
268914272540_212182018893803 has 9 number of comments
268914272540_374301125945528 has 3 number of comments
268914272540_294304617318734 has 27 number of comments
268914272540_288631924556287 has 38 number of comments
number of queries is 445
268914272540_356324027748311 has 6 number of comments
268914272540_10150674899287541 has 8 number of comments
268914272540_398339330187921 has 21 number of comments
268914272540_420582154618717 has 3 number of comments
268914272540_126452124150371 has 2 number of comments
268914272540_129799570487221 has 79 number of comments
268914272540_162091797250892 has 7 number of comments
268914272540_371717776196838 has 10 number of comments
268914272540_118789391588761 has 1 number of comments
268914272540_396074673747605 has 1 number of comments
268914272540_341692092552148 has 4 number of comments
268914272540_377881322250639 has 25 number of comments
268914272540_203668493085738 has 61 number of comments
268914272540_370606236325343 has 12 number of comments
268914272540_316961565044175 has 19 number of comments
268914272540_392075404148321 has 42 number of comments
268914272540_141137452684444 has 18 number of comments
268914272540_279296475494843 has 1 number of comments
268914272540_163218210470503 has 67 number of comments
268914272540_160396797419946 has 62 number of comments
268914272540_292015194213344 has 20 number of comments
268914272540_348189998574641 has 20 number of comments
268914272540_382602695111815 has 1 number of comments
268914272540_400217063345805 has 60 number of comments
number of queries is 487
268914272540_401795279840697 has 2 number of comments
268914272540_351434054912884 has 6 number of comments
268914272540_369438049759186 has 24 number of comments
268914272540_383982864979945 has 13 number of comments
268914272540_357068007682777 has 16 number of comments
268914272540_446432362038585 has 1 number of comments
268914272540_289066714510737 has 6 number of comments
268914272540_386376664727074 has 3 number of comments
268914272540_375961875779856 has 5 number of comments
268914272540_296848847060348 has 51 number of comments
268914272540_129344737198065 has 33 number of comments
268914272540_286692558086368 has 52 number of comments
268914272540_225320210907450 has 1 number of comments
268914272540_344183865641625 has 14 number of comments
268914272540_140011796123724 has 15 number of comments
268914272540_158340444295086 has 5 number of comments
268914272540_228222023944057 has 4 number of comments
268914272540_292715657475683 has 50 number of comments
268914272540_419188961426571 has 1 number of comments
268914272540_276385302451710 has 41 number of comments
number of queries is 519
268914272540_217242838388373 has 23 number of comments
268914272540_443907635635184 has 23 number of comments
268914272540_401266966573608 has 12 number of comments
268914272540_296927987050185 has 24 number of comments
268914272540_348801601847249 has 17 number of comments
268914272540_142082545917016 has 7 number of comments
268914272540_317334051673355 has 2 number of comments
268914272540_373757642666486 has 5 number of comments
268914272540_367067623344975 has 2 number of comments
268914272540_410878715602683 has 5 number of comments
268914272540_278377668918961 has 72 number of comments
268914272540_222447664527064 has 25 number of comments
268914272540_250939641670253 has 4 number of comments
268914272540_367733669929261 has 2 number of comments
268914272540_407612419256568 has 9 number of comments
268914272540_398443720176368 has 8 number of comments
268914272540_377214878984426 has 65 number of comments
268914272540_347740315279102 has 21 number of comments
268914272540_391719364195899 has 7 number of comments
268914272540_214290118673734 has 12 number of comments
268914272540_405095959509062 has 6 number of comments
268914272540_375594542481899 has 5 number of comments
number of queries is 548
268914272540_345758532152152 has 1 number of comments
268914272540_211082932328438 has 8 number of comments
268914272540_287967177954609 has 30 number of comments
268914272540_417859248241525 has 18 number of comments
268914272540_251217061643182 has 6 number of comments
268914272540_387348081304751 has 5 number of comments
268914272540_276194745807156 has 7 number of comments
268914272540_217818134993239 has 25 number of comments
268914272540_340579712668748 has 17 number of comments
268914272540_298623520212218 has 1 number of comments
268914272540_392921724074206 has 7 number of comments
268914272540_281548148599529 has 11 number of comments
268914272540_368059433246624 has 2 number of comments
268914272540_114168572051017 has 3 number of comments
268914272540_291756874237155 has 12 number of comments
268914272540_396266793728081 has 9 number of comments
268914272540_334405719947848 has 2 number of comments
268914272540_197260397059271 has 7 number of comments
268914272540_295077373906037 has 9 number of comments
268914272540_316307965108149 has 3 number of comments
268914272540_343094872414401 has 15 number of comments
268914272540_224378714333437 has 40 number of comments
268914272540_371115942939532 has 12 number of comments
number of queries is 576
268914272540_172774489512557 has 3 number of comments
268914272540_442120302471087 has 28 number of comments
268914272540_419818584697082 has 7 number of comments
268914272540_225407984226355 has 15 number of comments
268914272540_273489756075282 has 43 number of comments
268914272540_440774529272481 has 1 number of comments
268914272540_140363326088682 has 41 number of comments
268914272540_296746033734167 has 19 number of comments
268914272540_327202424012851 has 2 number of comments
268914272540_261059737322471 has 1 number of comments
268914272540_220563538049786 has 6 number of comments
268914272540_220556214716651 has 55 number of comments
268914272540_155802051213941 has 9 number of comments
268914272540_215757061870445 has 10 number of comments
268914272540_212436295534245 has 18 number of comments
268914272540_296133743796129 has 5 number of comments
268914272540_419960751348790 has 46 number of comments
268914272540_365470100155258 has 30 number of comments
268914272540_223921371047265 has 48 number of comments
268914272540_290610827684714 has 5 number of comments
number of queries is 610
268914272540_279577778798822 has 1 number of comments
268914272540_432826443397423 has 18 number of comments
268914272540_257866854310083 has 11 number of comments
268914272540_406385336045809 has 10 number of comments
268914272540_340993369294062 has 5 number of comments
268914272540_215231298590056 has 18 number of comments
268914272540_258717687557639 has 3 number of comments
268914272540_223519891085797 has 2 number of comments
268914272540_392621657426310 has 28 number of comments
268914272540_292511430829143 has 1 number of comments
268914272540_287904057957734 has 25 number of comments
268914272540_274962965928101 has 11 number of comments
268914272540_348833091845064 has 36 number of comments
268914272540_221080434663161 has 16 number of comments
268914272540_10150651566587541 has 39 number of comments
268914272540_274811342611045 has 8 number of comments
268914272540_392607230769741 has 30 number of comments
268914272540_348340518548861 has 2 number of comments
268914272540_429481863744610 has 4 number of comments
268914272540_326992834035305 has 8 number of comments
268914272540_314377565265368 has 2 number of comments
268914272540_233221076786134 has 4 number of comments
268914272540_350982364959726 has 19 number of comments
number of queries is 31
268914272540_281559898596459 has 25 number of comments
268914272540_285489711534122 has 18 number of comments
268914272540_285042661578013 has 35 number of comments
268914272540_103061413163036 has 8 number of comments
268914272540_334080926646171 has 5 number of comments
268914272540_368977796488267 has 1 number of comments
268914272540_110559415745206 has 6 number of comments
268914272540_431330766893340 has 14 number of comments
268914272540_278392435582622 has 10 number of comments
268914272540_315844188484704 has 36 number of comments
268914272540_312559132149529 has 22 number of comments
268914272540_394604137238819 has 25 number of comments
268914272540_437963976219104 has 13 number of comments
268914272540_392915397408370 has 63 number of comments
268914272540_209721445797497 has 14 number of comments
268914272540_385780841462143 has 58 number of comments
268914272540_251048684994327 has 18 number of comments
268914272540_278944202194597 has 30 number of comments
268914272540_200296516753429 has 87 number of comments
268914272540_224561684314598 has 4 number of comments
268914272540_212610852183425 has 1 number of comments
268914272540_338011149593790 has 2 number of comments
number of queries is 70
268914272540_277709695650818 has 10 number of comments
268914272540_313977175337341 has 45 number of comments
268914272540_278687882219335 has 3 number of comments
268914272540_359288654123439 has 7 number of comments
268914272540_410900158920087 has 6 number of comments
268914272540_169326533190253 has 15 number of comments
268914272540_396126770418043 has 2 number of comments
268914272540_335804326484555 has 67 number of comments
268914272540_277818172305009 has 13 number of comments
268914272540_434982023185471 has 10 number of comments
268914272540_295075037236615 has 15 number of comments
268914272540_312075718865875 has 44 number of comments
268914272540_209746125795380 has 11 number of comments
268914272540_152749168187178 has 8 number of comments
268914272540_223230781110339 has 4 number of comments
268914272540_387203297969771 has 17 number of comments
268914272540_305398216195961 has 1 number of comments
268914272540_388541954512287 has 9 number of comments
268914272540_181748495280172 has 8 number of comments
268914272540_214255155349493 has 3 number of comments
268914272540_429429653750512 has 13 number of comments
268914272540_403102636374346 has 1 number of comments
268914272540_368328119873110 has 12 number of comments
268914272540_422849964391725 has 7 number of comments
number of queries is 102
268914272540_292361654173223 has 3 number of comments
268914272540_412342908794063 has 2 number of comments
268914272540_342854189105578 has 2 number of comments
268914272540_343887152334903 has 3 number of comments
268914272540_428895287136928 has 23 number of comments
268914272540_205844969530745 has 2 number of comments
268914272540_206808032755203 has 28 number of comments
268914272540_317065128360165 has 30 number of comments
268914272540_150302388431281 has 13 number of comments
268914272540_132554356875074 has 6 number of comments
268914272540_358920157487635 has 6 number of comments
268914272540_392929380727765 has 11 number of comments
268914272540_362413640472191 has 15 number of comments
268914272540_358020900899694 has 7 number of comments
268914272540_368004983250042 has 6 number of comments
268914272540_397983663554602 has 14 number of comments
268914272540_124681234322173 has 25 number of comments
268914272540_378633165510992 has 11 number of comments
268914272540_265490540210872 has 6 number of comments
268914272540_356517471061653 has 16 number of comments
268914272540_104884512979718 has 40 number of comments
number of queries is 130
268914272540_213286282113922 has 2 number of comments
268914272540_288808497861847 has 60 number of comments
268914272540_324515754281950 has 3 number of comments
268914272540_334238873297717 has 1 number of comments
268914272540_367148696657877 has 1 number of comments
268914272540_255768394519606 has 4 number of comments
268914272540_265122826914556 has 2 number of comments
268914272540_214384758670136 has 3 number of comments
268914272540_211810882265029 has 2 number of comments
268914272540_277612948991224 has 6 number of comments
268914272540_329511220436798 has 8 number of comments
268914272540_309962032407692 has 32 number of comments
268914272540_309347669138832 has 4 number of comments
268914272540_382728921757421 has 26 number of comments
268914272540_131390830324854 has 14 number of comments
268914272540_156680201126878 has 3 number of comments
268914272540_271679009586836 has 15 number of comments
268914272540_342876055768582 has 1 number of comments
268914272540_389679847731109 has 10 number of comments
268914272540_217003341736844 has 13 number of comments
268914272540_135617143230199 has 1 number of comments
268914272540_282921368456025 has 15 number of comments
268914272540_268711289889233 has 26 number of comments
number of queries is 161
268914272540_348953528486195 has 2 number of comments
268914272540_406637452681868 has 3 number of comments
268914272540_10150639111697541 has 9 number of comments
268914272540_152609558198246 has 14 number of comments
268914272540_336646836397660 has 63 number of comments
268914272540_394397530584445 has 24 number of comments
268914272540_205861852857405 has 24 number of comments
268914272540_307280609343134 has 17 number of comments
268914272540_210948319014539 has 7 number of comments
268914272540_245449508887770 has 20 number of comments
268914272540_375119495844759 has 16 number of comments
268914272540_10150637587842541 has 69 number of comments
268914272540_291235607617385 has 10 number of comments
268914272540_218090301626116 has 21 number of comments
268914272540_340249332700611 has 15 number of comments
268914272540_289494994457951 has 25 number of comments
268914272540_218593848246399 has 30 number of comments
268914272540_10150637237377541 has 34 number of comments
268914272540_264333466990016 has 5 number of comments
268914272540_383175781717434 has 27 number of comments
268914272540_303064406433812 has 18 number of comments
number of queries is 194
268914272540_244993508931320 has 5 number of comments
268914272540_206090959506076 has 1 number of comments
268914272540_359549700768632 has 6 number of comments
268914272540_129987433797870 has 8 number of comments
268914272540_436341826380905 has 1 number of comments
268914272540_388232621210420 has 1 number of comments
268914272540_204282116352847 has 18 number of comments
268914272540_131454053646151 has 18 number of comments
268914272540_179107238876515 has 23 number of comments
268914272540_205947729516406 has 24 number of comments
268914272540_216644981771027 has 18 number of comments
268914272540_10150635229302541 has 18 number of comments
268914272540_381711828536119 has 25 number of comments
268914272540_343596469021943 has 5 number of comments
268914272540_193422360775835 has 26 number of comments
268914272540_390548857632680 has 4 number of comments
268914272540_10150634926997541 has 19 number of comments
268914272540_201434069971099 has 11 number of comments
268914272540_284134738332094 has 10 number of comments
268914272540_288870751186950 has 7 number of comments
268914272540_332698713458275 has 35 number of comments
268914272540_178676688919089 has 52 number of comments
number of queries is 222
268914272540_116793211786780 has 8 number of comments
268914272540_102396566561453 has 13 number of comments
268914272540_430532146962656 has 3 number of comments
268914272540_286863111391028 has 17 number of comments
268914272540_191058731011992 has 6 number of comments
268914272540_210153455761937 has 5 number of comments
268914272540_264771036945636 has 37 number of comments
268914272540_392196460801206 has 24 number of comments
268914272540_338075706248859 has 1 number of comments
268914272540_420779301268882 has 1 number of comments
268914272540_339228912802671 has 8 number of comments
268914272540_400319506653907 has 7 number of comments
268914272540_283024035110185 has 10 number of comments
268914272540_149360378523936 has 3 number of comments
268914272540_264171327009446 has 32 number of comments
268914272540_10150632677997541 has 20 number of comments
268914272540_326446537414825 has 10 number of comments
268914272540_424757890872225 has 9 number of comments
268914272540_428181453874034 has 6 number of comments
268914272540_336132399785110 has 9 number of comments
268914272540_178044408982858 has 7 number of comments
268914272540_378938465479355 has 2 number of comments
268914272540_204054209696954 has 13 number of comments
268914272540_129105667220062 has 6 number of comments
number of queries is 251
268914272540_332533966811264 has 8 number of comments
268914272540_386911211329260 has 7 number of comments
268914272540_219147764851505 has 10 number of comments
268914272540_328549287208689 has 3 number of comments
268914272540_335623886501697 has 8 number of comments
268914272540_132173903574568 has 13 number of comments
268914272540_337293956334128 has 21 number of comments
268914272540_358057784245422 has 17 number of comments
268914272540_312108485521890 has 17 number of comments
268914272540_216607078445214 has 31 number of comments
268914272540_215781501860203 has 48 number of comments
268914272540_113969015401780 has 17 number of comments
268914272540_271843249566752 has 11 number of comments
268914272540_302078223193634 has 24 number of comments
268914272540_246469272116086 has 14 number of comments
268914272540_335646049818364 has 55 number of comments
268914272540_122238201233334 has 13 number of comments
268914272540_261430650614445 has 24 number of comments
268914272540_203491909764661 has 35 number of comments
268914272540_383486805019082 has 7 number of comments
268914272540_342299335818501 has 12 number of comments
268914272540_306765602721983 has 60 number of comments
268914272540_428263257189941 has 9 number of comments
268914272540_251319471630892 has 6 number of comments
number of queries is 288
268914272540_363630187009258 has 1 number of comments
268914272540_280630502015919 has 20 number of comments
268914272540_395243463832722 has 23 number of comments
268914272540_355685224483696 has 17 number of comments
268914272540_186535074799702 has 12 number of comments
268914272540_285115114900576 has 5 number of comments
268914272540_427439513940232 has 27 number of comments
268914272540_361548757224501 has 4 number of comments
268914272540_379703152049956 has 10 number of comments
268914272540_332132086848602 has 5 number of comments
268914272540_206593952782996 has 2 number of comments
268914272540_395953523763232 has 7 number of comments
268914272540_163369533785149 has 2 number of comments
268914272540_340282706027910 has 6 number of comments
268914272540_402015846493562 has 2 number of comments
268914272540_111672882299570 has 5 number of comments
268914272540_311903998876840 has 15 number of comments
268914272540_282106511868439 has 9 number of comments
268914272540_203348529777669 has 3 number of comments
268914272540_198345566948445 has 29 number of comments
268914272540_385249144839101 has 19 number of comments
268914272540_308513692551960 has 27 number of comments
268914272540_10150624172892541 has 29 number of comments
number of queries is 319
268914272540_201808619933100 has 1 number of comments
268914272540_10150624013857541 has 6 number of comments
268914272540_283894291685106 has 12 number of comments
268914272540_379048798793947 has 42 number of comments
268914272540_370283949678070 has 15 number of comments
268914272540_164029587052700 has 10 number of comments
268914272540_373183139388682 has 12 number of comments
268914272540_208078899301396 has 1 number of comments
268914272540_328053040589488 has 3 number of comments
268914272540_292061224202846 has 4 number of comments
268914272540_202428056538227 has 34 number of comments
268914272540_296652683738436 has 35 number of comments
268914272540_287778141297323 has 11 number of comments
268914272540_389108594447730 has 34 number of comments
268914272540_396177480405852 has 4 number of comments
268914272540_200253783421787 has 10 number of comments
268914272540_334436999939027 has 13 number of comments
268914272540_267284803361348 has 2 number of comments
268914272540_147795728679915 has 8 number of comments
268914272540_207502382692738 has 17 number of comments
268914272540_262417823849451 has 10 number of comments
268914272540_144012145728498 has 17 number of comments
268914272540_285910594819158 has 6 number of comments
number of queries is 351
268914272540_208572069252363 has 19 number of comments
268914272540_332501780147238 has 4 number of comments
268914272540_328281643901969 has 5 number of comments
268914272540_203195213124229 has 6 number of comments
268914272540_270036546415854 has 10 number of comments
268914272540_394932630525432 has 12 number of comments
268914272540_408248375853342 has 18 number of comments
268914272540_425823727433637 has 1 number of comments
268914272540_386256538062464 has 1 number of comments
268914272540_186134474839196 has 5 number of comments
268914272540_381284321903965 has 29 number of comments
268914272540_145984418861347 has 12 number of comments
268914272540_121718024618493 has 4 number of comments
268914272540_280778145334781 has 21 number of comments
268914272540_331090953607271 has 1 number of comments
268914272540_200347920079294 has 3 number of comments
268914272540_332257893490725 has 2 number of comments
268914272540_202690443178869 has 2 number of comments
268914272540_354377964608443 has 13 number of comments
268914272540_350600841643391 has 19 number of comments
268914272540_322380107827123 has 11 number of comments
268914272540_10150620230342541 has 23 number of comments
268914272540_267687573319391 has 21 number of comments
number of queries is 377
